"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/position[3]_x","/joint_states/position[3]_y"
-494257.0097,0,-494257.0097,0,-494257.043,-0.03847456455,
-494256.9764,0,-494256.9764,0,-494257.0097,-0.03857772636,
-494256.943,0,-494256.943,0,-494256.9764,-0.03991778183,
-494256.9097,0,-494256.9097,0,-494256.943,-0.03775288105,
-494256.8764,0,-494256.8764,0,-494256.9097,-0.03610348988,
-494256.843,0,-494256.843,0,-494256.8764,-0.03754670715,
-494256.8097,0,-494256.8097,0,-494256.843,-0.03816537857,
-494256.7764,0,-494256.7764,0,-494256.8097,-0.03785604286,
-494256.743,0,-494256.743,0,-494256.7764,-0.03878390026,
-494256.7097,0,-494256.7097,0,-494256.743,-0.03837155247,
-494256.6764,0,-494256.6764,0,-494256.7097,-0.03919624805,
-494256.643,0,-494256.643,0,-494256.6764,-0.03837155247,
-494256.6097,0,-494256.6097,0,-494256.643,-0.03919624805,
-494256.5764,0,-494256.5764,0,-494256.6097,-0.03899007416,
-494256.543,0,-494256.543,0,-494256.5764,-0.03826839066,
-494256.5097,0,-494256.5097,0,-494256.543,-0.03744369507,
-494256.4763,0,-494256.4763,0,-494256.5097,-0.03775288105,
-494256.443,0,-494256.443,0,-494256.4763,-0.03816537857,
-494256.4097,0,-494256.4097,0,-494256.443,-0.03775288105,
-494256.3763,0,-494256.3763,0,-494256.4097,-0.03672201157,
-494256.343,0,-494256.343,0,-494256.3763,-0.03826839066,
-494256.3097,0,-494256.3097,0,-494256.343,-0.03744369507,
-494256.2763,0,-494256.2763,0,-494256.3097,-0.03672201157,
-494256.243,0,-494256.243,0,-494256.2763,-0.03847456455,
-494256.2097,0,-494256.2097,0,-494256.243,-0.03723752117,
-494256.1764,0,-494256.1764,0,-494256.2097,-0.03806221676,
-494256.143,0,-494256.143,0,-494256.1764,-0.03919624805,
-494256.1097,0,-494256.1097,0,-494256.143,-0.03826839066,
-494256.0763,0,-494256.0763,0,-494256.1097,-0.03909308624,
-494256.043,0,-494256.043,0,-494256.0763,-0.03857772636,
-494256.0097,0,-494256.0097,0,-494256.043,-0.03899007416,
-494255.9764,0,-494255.9764,0,-494256.0097,-0.03929926014,
-494255.943,0,-494255.943,0,-494255.9764,-0.03847456455,
-494255.9097,0,-494255.9097,0,-494255.943,-0.03981476974,
-494255.8763,0,-494255.8763,0,-494255.9097,-0.03981476974,
-494255.843,0,-494255.843,0,-494255.8763,-0.03909308624,
-494255.8097,0,-494255.8097,0,-494255.843,-0.03940242195,
-494255.7763,0,-494255.7763,0,-494255.8097,-0.03950543404,
-494255.743,0,-494255.743,0,-494255.7763,-0.03868073845,
-494255.7097,0,-494255.7097,0,-494255.743,-0.03919624805,
-494255.6764,0,-494255.6764,0,-494255.7097,-0.03816537857,
-494255.643,0,-494255.643,0,-494255.6764,-0.03744369507,
-494255.6097,0,-494255.6097,0,-494255.643,-0.03775288105,
-494255.5763,0,-494255.5763,0,-494255.6097,-0.03754670715,
-494255.543,0,-494255.543,0,-494255.5763,-0.03692818546,
-494255.5097,0,-494255.5097,0,-494255.543,-0.03909308624,
-494255.4764,0,-494255.4764,0,-494255.5097,-0.03692818546,
-494255.443,0,-494255.443,0,-494255.4764,-0.03785604286,
-494255.4097,0,-494255.4097,0,-494255.443,-0.03888691235,
-494255.3763,0,-494255.3763,0,-494255.4097,-0.03641282558,
-494255.3431,0,-494255.3431,0,-494255.3763,-0.03857772636,
-494255.3097,0,-494255.3097,0,-494255.3431,-0.03888691235,
-494255.2763,0,-494255.2763,0,-494255.3097,-0.03837155247,
-494255.243,0,-494255.243,0,-494255.2763,-0.03744369507,
-494255.2097,0,-494255.2097,0,-494255.243,-0.03878390026,
-494255.1763,0,-494255.1763,0,-494255.2097,-0.03826839066,
-494255.143,0,-494255.143,0,-494255.1763,-0.03651583767,
-494255.1097,0,-494255.1097,0,-494255.143,-0.03806221676,
-494255.0763,0,-494255.0763,0,-494255.1097,-0.03868073845,
-494255.043,0,-494255.043,0,-494255.0763,-0.03795920467,
-494255.0097,0,-494255.0097,0,-494255.043,-0.03816537857,
-494254.9764,0,-494254.9764,0,-494255.0097,-0.03816537857,
-494254.943,0,-494254.943,0,-494254.9764,-0.03682517338,
-494254.9097,0,-494254.9097,0,-494254.943,-0.03744369507,
-494254.8763,0,-494254.8763,0,-494254.9097,-0.03960859585,
-494254.843,0,-494254.843,0,-494254.8763,-0.03919624805,
-494254.8097,0,-494254.8097,0,-494254.843,-0.03888691235,
-494254.7764,0,-494254.7764,0,-494254.8097,-0.03919624805,
-494254.743,0,-494254.743,0,-494254.7764,-0.03991778183,
-494254.7097,0,-494254.7097,0,-494254.743,-0.03919624805,
-494254.6764,0,-494254.6764,0,-494254.7097,-0.03775288105,
-494254.643,0,-494254.643,0,-494254.6764,-0.03816537857,
-494254.6097,0,-494254.6097,0,-494254.643,-0.03857772636,
-494254.5764,0,-494254.5764,0,-494254.6097,-0.03899007416,
-494254.543,0,-494254.543,0,-494254.5764,-0.03775288105,
-494254.5097,0,-494254.5097,0,-494254.543,-0.03785604286,
-494254.4764,0,-494254.4764,0,-494254.5097,-0.03837155247,
-494254.443,0,-494254.443,0,-494254.4764,-0.03826839066,
-494254.4097,0,-494254.4097,0,-494254.443,-0.03919624805,
-494254.3764,0,-494254.3764,0,-494254.4097,-0.03868073845,
-494254.343,0,-494254.343,0,-494254.3764,-0.03878390026,
-494254.3097,0,-494254.3097,0,-494254.343,-0.03795920467,
-494254.2763,0,-494254.2763,0,-494254.3097,-0.03857772636,
-494254.243,0,-494254.243,0,-494254.2763,-0.03919624805,
-494254.2097,0,-494254.2097,0,-494254.243,-0.03847456455,
-494254.1764,0,-494254.1764,0,-494254.2097,-0.03950543404,
-494254.143,0,-494254.143,0,-494254.1764,-0.03806221676,
-494254.1097,0,-494254.1097,0,-494254.143,-0.03826839066,
-494254.0763,0,-494254.0763,0,-494254.1097,-0.03960859585,
-494254.0431,0,-494254.0431,0,-494254.0763,-0.03775288105,
-494254.0097,0,-494254.0097,0,-494254.0431,-0.03888691235,
-494253.9764,0,-494253.9764,0,-494254.0097,-0.03960859585,
-494253.943,0,-494253.943,0,-494253.9764,-0.03734053326,
-494253.9097,0,-494253.9097,0,-494253.943,-0.03744369507,
-494253.8763,0,-494253.8763,0,-494253.9097,-0.03826839066,
-494253.843,0,-494253.843,0,-494253.8763,-0.03764986897,
-494253.8097,0,-494253.8097,0,-494253.843,-0.03785604286,
-494253.7763,0,-494253.7763,0,-494253.8097,-0.03857772636,
-494253.743,0,-494253.743,0,-494253.7763,-0.03672201157,
-494253.7097,0,-494253.7097,0,-494253.743,-0.03713435936,
-494253.6763,0,-494253.6763,0,-494253.7097,-0.03692818546,
-494253.643,0,-494253.643,0,-494253.6763,-0.03826839066,
-494253.6097,0,-494253.6097,0,-494253.643,-0.03785604286,
-494253.5763,0,-494253.5763,0,-494253.6097,-0.03692818546,
-494253.543,0,-494253.543,0,-494253.5763,-0.03837155247,
-494253.5097,0,-494253.5097,0,-494253.543,-0.03785604286,
-494253.4763,0,-494253.4763,0,-494253.5097,-0.03682517338,
-494253.443,0,-494253.443,0,-494253.4763,-0.03868073845,
-494253.4097,0,-494253.4097,0,-494253.443,-0.03806221676,
-494253.3763,0,-494253.3763,0,-494253.4097,-0.03940242195,
-494253.343,0,-494253.343,0,-494253.3763,-0.03713435936,
-494253.3097,0,-494253.3097,0,-494253.343,-0.03692818546,
-494253.2763,0,-494253.2763,0,-494253.3097,-0.03868073845,
-494253.243,0,-494253.243,0,-494253.2763,-0.03816537857,
-494253.2097,0,-494253.2097,0,-494253.243,-0.03651583767,
-494253.1763,0,-494253.1763,0,-494253.2097,-0.03857772636,
-494253.143,0,-494253.143,0,-494253.1763,-0.03600047779,
-494253.1097,0,-494253.1097,0,-494253.143,-0.03764986897,
-494253.0763,0,-494253.0763,0,-494253.1097,-0.03847456455,
-494253.043,0,-494253.043,0,-494253.0763,-0.03764986897,
-494253.0097,0,-494253.0097,0,-494253.043,-0.03692818546,
-494252.9763,0,-494252.9763,0,-494253.0097,-0.03682517338,
-494252.943,0,-494252.943,0,-494252.9763,-0.03661899948,
-494252.9097,0,-494252.9097,0,-494252.943,-0.03775288105,
-494252.8763,0,-494252.8763,0,-494252.9097,-0.03837155247,
-494252.843,0,-494252.843,0,-494252.8763,-0.03847456455,
-494252.8097,0,-494252.8097,0,-494252.843,-0.03806221676,
-494252.7763,0,-494252.7763,0,-494252.8097,-0.03703134727,
-494252.743,0,-494252.743,0,-494252.7763,-0.03857772636,
-494252.7097,0,-494252.7097,0,-494252.743,-0.03754670715,
-494252.6763,0,-494252.6763,0,-494252.7097,-0.03857772636,
-494252.643,0,-494252.643,0,-494252.6763,-0.03734053326,
-494252.6097,0,-494252.6097,0,-494252.643,-0.04002094364,
-494252.5763,0,-494252.5763,0,-494252.6097,-0.03857772636,
-494252.543,0,-494252.543,0,-494252.5763,-0.03981476974,
-494252.5097,0,-494252.5097,0,-494252.543,-0.03816537857,
-494252.4763,0,-494252.4763,0,-494252.5097,-0.03847456455,
-494252.443,0,-494252.443,0,-494252.4763,-0.03723752117,
-494252.4097,0,-494252.4097,0,-494252.443,-0.03754670715,
-494252.3763,0,-494252.3763,0,-494252.4097,-0.03857772636,
-494252.343,0,-494252.343,0,-494252.3763,-0.03734053326,
-494252.3097,0,-494252.3097,0,-494252.343,-0.03734053326,
-494252.2764,0,-494252.2764,0,-494252.3097,-0.03857772636,
-494252.243,0,-494252.243,0,-494252.2764,-0.03837155247,
-494252.2097,0,-494252.2097,0,-494252.243,-0.03672201157,
-494252.1764,0,-494252.1764,0,-494252.2097,-0.03661899948,
-494252.143,0,-494252.143,0,-494252.1764,-0.03672201157,
-494252.1097,0,-494252.1097,0,-494252.143,-0.03785604286,
-494252.0764,0,-494252.0764,0,-494252.1097,-0.03651583767,
-494252.043,0,-494252.043,0,-494252.0764,-0.03847456455,
-494252.0097,0,-494252.0097,0,-494252.043,-0.03929926014,
-494251.9763,0,-494251.9763,0,-494252.0097,-0.03847456455,
-494251.943,0,-494251.943,0,-494251.9763,-0.03929926014,
-494251.9097,0,-494251.9097,0,-494251.943,-0.03919624805,
-494251.8764,0,-494251.8764,0,-494251.9097,-0.03816537857,
-494251.843,0,-494251.843,0,-494251.8764,-0.03940242195,
-494251.8097,0,-494251.8097,0,-494251.843,-0.03775288105,
-494251.7763,0,-494251.7763,0,-494251.8097,-0.03888691235,
-494251.743,0.785,-494251.743,1.381130884e-07,-494251.7763,-0.03703134727,
-494251.7097,0.785,-494251.7097,6.856838008e-05,-494251.743,-0.03847456455,
-494251.6764,0.785,-494251.6764,0.0006718697637,-494251.7097,-0.03713435936,
-494251.643,0.785,-494251.643,0.002332022741,-494251.6764,-0.03795920467,
-494251.6097,0.785,-494251.6097,0.00674504697,-494251.643,-0.03899007416,
-494251.5763,0.785,-494251.5763,0.0152207235,-494251.6097,-0.03919624805,
-494251.543,0.785,-494251.543,0.0268232897,-494251.5763,-0.03795920467,
-494251.5097,0.785,-494251.5097,0.04653844905,-494251.543,-0.03857772636,
-494251.4763,0.785,-494251.4763,0.07376884567,-494251.5097,-0.03878390026,
-494251.443,0.785,-494251.443,0.1034217377,-494251.4763,-0.03795920467,
-494251.4097,0.785,-494251.4097,0.1452739822,-494251.443,-0.01105253792,
